Name;Descrição;Função;Dificuldade;Skills;Skins;Link
Aurelion Sol;Aurelion Sol costumava agraciar a vasta imensidão vazia dos cosmos com maravilhas celestiais concebidas por ele mesmo. Agora, ele é forçado a usar seu incrível poder a mando de um império espacial remoto que o enganou e o mantém sob servidão. Desejando...;Mago;Média;['Criador Cósmico', 'Sopro de Luz', 'Voo Astral', 'Singularidade', 'Estrela Cadente/Os Céus Caem'];['Aurelion Sol Senhor das Cinzas', 'Mech Aurelion Sol', 'Aurelion Sol Dragão da Tormenta', 'Aurelion Sol Tinta Sombria', 'Aurelion Sol Protetor de Porcelana'];https://www.leagueoflegends.com//pt-br/champions/aurelion-sol/
Aurora;Desde que nasceu, Aurora vive com uma habilidade inigualável de viajar entre os reinos dos mortais e dos espíritos. Determinada a aprender mais sobre os habitantes do reino espiritual, ela deixou seu lar para trás com o objetivo de conduzir mais...;Mago / Assassino;Média;['Abjuração Espiritual', 'Feitiço Dúplice', 'Através do Véu', 'Estranheza', 'Entre Mundos'];['Aurora Coelha de Batalha'];https://www.leagueoflegends.com//pt-br/champions/aurora/
Azir;Azir foi um imperador mortal de Shurima em uma era muito antiga e um homem orgulhoso que esteve a um passo da imortalidade. Sua insolência fez com que fosse traído e assassinado no momento de seu maior triunfo, mas agora, milênios depois, ele renasceu...;Mago / Atirador;Alta;['Legado de Shurima', 'Areias da Conquista', 'Surja!', 'Areias Oscilantes', 'Decreto do Imperador'];['Azir Galáctico', 'Azir Senhor dos Túmulos', 'SKT T1 Azir', 'Azir Reinos Combatentes', 'Azir Sabugueiro', 'Azir Mundial 2022'];https://www.leagueoflegends.com//pt-br/champions/azir/
Bardo;Viajante de galáxias distantes, Bardo é um agente do acaso que luta para manter um equilíbrio em que a vida possa suportar a indiferença do caos. Muitos habitantes de Runeterra entoam canções que louvam sua extraordinária índole, mas todos concordam que...;Suporte / Mago;Alta;['Chamado do Viajante', 'Prisão Cósmica', 'Santuário do Protetor', 'Jornada Mágica', 'Têmpera do Destino'];['Bardo Sabugueiro', 'Bardo Dia Nevado', 'Bardo Bardo', 'Bardo Astronauta', 'Bardo Kawaii Café', 'Bardo Pergaminhos Shan Hai'];https://www.leagueoflegends.com//pt-br/champions/bard/
Bel'Veth;Bel'Veth, uma imperatriz tenebrosa nascida da essência de uma cidade devorada, é o fim da própria Runeterra... E o início de uma realidade monstruosa criada à sua imagem. Guiada por eras de história, conhecimento e lembranças adaptadas do mundo superior...;Lutador;Alta;['Morte em Lavanda ', 'Impulso do Vazio', 'Acima e Abaixo', 'Turbilhão da Realeza', 'Banquete Eterno'];"[""Bel'Veth Chefona"", ""Bel'Veth Matriarca Cósmica""]";https://www.leagueoflegends.com//pt-br/champions/bel-veth/
Blitzcrank;Blitzcrank é um autômato enorme e praticamente indestrutível de Zaun, construído originalmente para lidar com lixo tóxico. No entanto, ele achou seu propósito principal muito restritivo e modificou sua própria forma para ajudar as pessoas menos...;Tanque / Suporte;Média;['Barreira de Mana', 'Puxão Biônico', 'Turbo', 'Punho do Poder', 'Campo Estático'];['Blitzcrank Enferrujado', 'Blitzcrank Goleiro', 'Blitzcrank Nocaute', 'Blitzcrank Tunado em Piltover', 'Certamente não é o Blitzcrank', 'iBlitzcrank', 'Riot Blitzcrank', 'Blitzcrank Chefão', 'Blitzcrank Lanceiro Renegado', 'Blitzcrank Lanceiro Redentor', 'Blitzcrank Caldeirão da Bruxa', 'Blitz e Crank Embalos no Espaço', 'Blitzcrank Vitorioso', 'Blitzcrank Zenith Games', 'Bzzztcrank'];https://www.leagueoflegends.com//pt-br/champions/blitzcrank/
Brand;A criatura conhecida como Brand já se chamou Kegan Rodhe, um membro da gélida Freljord, e é hoje uma lição do que a tentação por poderes maiores pode fazer. Enquanto buscava uma das lendárias Runas Globais, Kegan traiu seus companheiros e a pegou para...;Mago / Suporte;Média;['Labareda', 'Cauterizar', 'Pilar de Chamas', 'Conflagração', 'Piroclasma'];['Brand Pós-Apocalipse', 'Brand Vândalo', 'Brand Criogênico', 'Brand Zumbi', 'Brand Fogo Espiritual', 'Brand Chefão', 'Brand Arco Celeste', 'Brand Dragão Eterno', 'Brand Galante', 'Brand Galante de Prestígio', 'Brand Demônios Urbanos', 'Brand Empíreo'];https://www.leagueoflegends.com//pt-br/champions/brand/
Braum;Abençoado com bíceps gigantescos e um coração maior ainda, Braum é um amado herói de Freljord. Cada salão de hidromel ao norte de Frostheld brinda sua força lendária que teria derrubado uma floresta de carvalhos em uma única noite e demolido uma...;Tanque / Suporte;Baixa;['Golpes Concussivos', 'Mordida do Inverno', 'Eu te Protejo', 'Inquebrável', 'Fissura Glacial'];['Braum Caçador de Dragões', 'Braum El Tigre', 'Braum Coração de Leão', 'Braum Noel', 'Braum Cidade do Crime', 'Braum Frenesi Açucarado', 'Braum Curtindo o Verão'];https://www.leagueoflegends.com//pt-br/champions/braum/
Briar;A incontrolável sede de sangue de Briar, um experimento fracassado da Rosa Negra, exigia uma estrutura especial para controlar sua mente frenética. Após anos de confinamento, essa arma viva se libertou de todas as restrições e ficou livre no mundo...;Lutador / Assassino;Baixa;['Maldição Carmesim', 'Vertigem', 'Frenesi Sanguinário/Ataque Faminto', 'Grito Arrepiante', 'Morte Certa'];['Briar Demônios Urbanos'];https://www.leagueoflegends.com//pt-br/champions/briar/
Caitlyn;Conhecida como sua melhor pacificadora, Caitlyn também é a melhor escolha de Piltover para livrar a cidade de seus elementos criminosos elusivos. É comum que ela faça dupla com Vi, agindo como um contraponto de calmaria para a natureza impetuosa de sua...;Atirador;Média;['Bem na Mira', 'Pacificadora de Piltover', 'Armadilha Mecânica Yordle', 'Rede Calibre 90', 'Ás na Manga'];['Caitlyn da Resistência', 'Xerife Caitlyn', 'Caitlyn Caçadora', 'Caitlyn Guerrilheira do Ártico', 'Caitlyn Policial', 'Caitlyn Caçadora de Cabeças', 'Caitlyn Espectro Lunar', 'Pulsefire Caitlyn', 'Caitlyn Curtindo o Verão', 'Caitlyn Fliperama', 'Caitlyn Fliperama de Prestígio', 'Caitlyn Academia de Batalha', 'Caitlyn Arcane', 'Caitlyn Fliperama de Prestígio (2022)', 'Caitlyn Lua Nevada', 'Caitlyn Coração Apaixonado', 'Caitlyn DRX'];https://www.leagueoflegends.com//pt-br/champions/caitlyn/
Camille;Munida para agir além dos limites da lei, Camille é a chefe de inteligência do Clã Ferros e uma elegante agente de elite, responsável pelo bom funcionamento da máquina de Piltover e de Zaun, seu submundo. Adaptável e precisa, ela vê técnicas medíocres...;Lutador / Assassino;Média;['Defesa Adaptativa', 'Protocolo de Precisão', 'Varredura Tática', 'Disparo de Gancho', 'Ultimato Hextec'];['Camille Cibernética', 'Camille Congregação das Bruxas', 'IG Camille', 'Camille Arcana', 'Camille Comandante de Ataque', 'Camille Bênção do Inverno', 'Camille Bênção do Inverno de Prestígio'];https://www.leagueoflegends.com//pt-br/champions/camille/
Cassiopeia;Cassiopeia é uma criatura mortal dedicada a manipular os outros para fazer suas vontades sinistras. A mais bela e mais nova filha da nobre família Du Couteau de Noxus aventurou-se pelas criptas profundas sob Shurima em busca de poderes ancestrais. Lá...;Mago;Alta;['Graça Serpentina', 'Explosão Venenosa', 'Miasma', 'Presas Duplas', 'Olhar Petrificador'];['Cassiopeia Velho Oeste', 'Cassiopeia Sereia', 'Cassiopeia Helênica', 'Cassiopeia Presas de Jade', 'Cassiopeia Eternum', 'Cassiopeia Florescer Espiritual', 'Cassiopeia Congregação das Bruxas', 'Cassiopeia Feiticeira'];https://www.leagueoflegends.com//pt-br/champions/cassiopeia/
Cho'Gath;A partir do momento em que Cho'Gath emergiu da terra para a luz do sol ofuscante de Runeterra, a besta foi motivada por pura fome insaciável. A mais perfeita expressão do desejo do Vazio de consumir toda a vida, a biologia complexa de Cho'Gath...;Tanque / Mago;Média;['Carnívoro', 'Ruptura', 'Grito Selvagem', 'Espinhos Vorpais', 'Banquete'];"[""Cho'Gath Terror Noturno"", ""Cho'Gath Cavalheiro"", ""Cho'Gath do Lago Ness"", ""Cho'Gath Jurássico"", ""Cho'Gath Máquina de Combate Primum"", ""Cho'Gath Pré-histórico"", ""Cho'Gath Estrela Negra"", ""Cho'Gath Pergaminhos Shan Hai"", ""Cho'Gath Pacto Quebrado"", ""Cho'Gath Terror de Brinquedo""]";https://www.leagueoflegends.com//pt-br/champions/cho-gath/
Corki;Corki, o piloto yordle, ama duas coisas acima de qualquer outra: voar e seu glamoroso bigode... não necessariamente nessa ordem. Depois de deixar Bandópolis, ele se estabeleceu em Piltover e se apaixonou pelas máquinas maravilhosas que encontrou por lá...;Atirador / Mago;Média;['Munição Hextec', 'Bomba de Fósforo', 'Valquíria', 'Metralhadora', 'Barragem de Mísseis'];['Corki OVNI', 'Corki no Bobsleigh', 'Corki Barão Vermelho', 'Corki Caranga Envenenada', 'Corki Montado em Urf', 'Corki Asas de Dragão', 'Fnatic Corki', 'Corki Fliperama', 'Corki Corgi', 'Corki Astronauta'];https://www.leagueoflegends.com//pt-br/champions/corki/
Darius;"Não há símbolo maior do poder de Noxus do que Darius, o mais temido e experiente comandante da nação. Vindo de origens humildes para se tornar a Mão de Noxus, ele corta seu caminho através dos inimigos do império; muitos dos quais são, inclusive...";Lutador / Tanque;Baixa;['Hemorragia', 'Dizimar', 'Ataque Mutilador', 'Apreender', 'Guilhotina de Noxus'];['Lorde Darius', 'Darius Bioforja', 'Darius Rei dos Bretões', 'Darius Mestre da Enterrada', 'Darius Colegial', 'Darius Nova Temível', 'Deus-Rei Darius', 'Darius Velho Oeste', 'Darius Fera Lunar', 'Darius Pesadelo na Cidade do Crime', 'Darius Florescer Espiritual', 'Darius de Porcelana'];https://www.leagueoflegends.com//pt-br/champions/darius/
Diana;Empunhando sua espada lunar crescente, Diana luta como uma guerreira dos Lunari, um credo quase extinto nas terras ao redor do Monte Targon. Vestida com uma armadura brilhante da cor da neve de inverno noturna, ela é a personificação do poder da lua...;Lutador / Assassino;Média;['Espada de Prata Lunar', 'Golpe Crescente', 'Cascata Lívida', 'Zênite Lunar', 'Colapso Minguante'];['Diana Valquíria Sombria', 'Diana Deusa Lunar', 'Diana Infernal', 'Diana Lua Sangrenta', 'Diana Águas Sombrias', 'Diana Caçadora de Dragões', 'Diana Rainha de Batalha', 'Diana Rainha de Batalha de Prestígio', 'Diana Sentinela', 'Diana Fogos de Artifício', 'Diana Bênção do Inverno', 'Diana Escamas Celestiais'];https://www.leagueoflegends.com//pt-br/champions/diana/
Dr. Mundo;Completamente maluco, tragicamente perigoso e terrivelmente roxo, Dr. Mundo é o que mantém muitos zaunitas dentro de casa nas noites mais escuras. Hoje se diz médico, mas ele já foi um paciente do manicômio mais infame de Zaun. Após ''curar'' toda a...;Tanque / Lutador;Média;['Vai Para Onde Quer', 'Serra Infectada', 'Choquinho Cardíaco', 'Traumatismo', 'Dosagem Máxima'];['Dr. Mulko', 'Sr. Mundoverso', 'Diretor Mundo', 'Mundo Mundo', 'Mundo Carrasco', 'Mundo Enfurecido', 'TPA Mundo', 'Mundo Curtindo o Verão', 'Mundo El Macho', 'Mundo Príncipe Congelado', 'Dr. Mundo Demônios Urbanos'];https://www.leagueoflegends.com//pt-br/champions/dr-mundo/
Draven;Em Noxus, guerreiros conhecidos como Desafiadores lutam um contra o outro em uma arena onde sangue é derramado e a força é testada, mas nenhum foi tão celebrado como Draven. Antes um soldado, ele descobriu que as multidões apreciavam seu instinto pelo...;Atirador;Alta;['League of Draven', 'Revolução do Machado', 'Adrenalina', 'Sai da Frente', 'Reta da Morte'];['Draven Ceifador de Almas', 'Draven Gladiador', 'Draven Locutor', 'Draven Curtindo o Verão', 'Draven Caçador de Feras', 'Draven Draven', 'Draven Noel', 'Draven Reinos Mech', 'Draven Destruído', 'Draven Galante', 'Draven Noite Apavorante', 'Draven La Ilusión'];https://www.leagueoflegends.com//pt-br/champions/draven/
Ekko;Um prodígio das ruas violentas de Zaun, Ekko manipula o tempo para reverter qualquer situação a seu favor. Usando sua própria invenção, o Revo-Z, ele explora as possíveis bifurcações da realidade para criar o momento perfeito. Embora valorize muito sua...;Assassino / Mago;Alta;['Ressonância Revo-Z', 'Giratempo', 'Convergência Paralela', 'Mergulho Fásico', 'Cronoquebra'];['Ekko Tempestade de Areia', 'Ekko Colegial', 'PROJETO: Ekko', 'SKT T1 Ekko', 'Ekko Gostosuras ou Travessuras', 'Ekko True Damage', 'Pulsefire Ekko', 'Ekko Fogolume', 'Ekko Guardião Estelar', 'Ekko Guardião Estelar de Prestígio', 'Ekko True Damage Revelação'];https://www.leagueoflegends.com//pt-br/champions/ekko/
Elise;Elise é uma predadora mortal que vive em um palácio escuro e reservado nas profundezas da cidade mais antiga de Noxus. Ela já foi mortal um dia, dama de uma família antes poderosa, mas a mordida de uma aranha peçonhenta a transformou em algo belo...;Assassino / Mago;Alta;['Aranha Rainha', 'Neurotoxina / Mordida Venenosa', 'Cria Volátil / Frenesi Aracnídeo', 'Casulo / Rapel', 'Forma de Aranha'];['Elise Florescência Mortal', 'Elise Vitoriosa', 'Elise Lua Sangrenta', 'SKT T1 Elise', 'Elise Supergaláctica', 'Elise Feiticeira', 'Elise Rosa Definhada', 'Elise Congregação das Bruxas'];https://www.leagueoflegends.com//pt-br/champions/elise/
Evelynn;Nas ruelas sombrias de Runeterra, a criatura demoníaca Evelynn busca sua próxima vítima. Ela atrai presas com sua voluptuosa aparência de fêmea humana, mas assim que a vítima sucumbe ao seu charme, a verdadeira forma de Evelynn é revelada. A criatura...;Assassino / Mago;Alta;['Sombra Demoníaca', 'Espinho de Ódio', 'Fascinação', 'Chicotada', 'Última Carícia'];['Evelynn Sombria', 'Evelynn Mascarada', 'Evelynn Dançarina de Tango', 'Evelynn Infiltradora', 'Evelynn Lua Sangrenta', 'Evelynn K/DA', 'Evelynn K/DA de Prestígio', 'Evelynn Frenesi Açucarado', 'Evelynn K/DA ALL OUT', 'Evelynn Congregação das Bruxas', 'Evelynn K/DA de Prestígio (2022)', 'Evelynn Florescer Espiritual', 'Evelynn Soul Fighter', 'Evelynn Velho Oeste', 'Evelynn Velho Oeste de Prestígio'];https://www.leagueoflegends.com//pt-br/champions/evelynn/
Ezreal;Um aventureiro arrojado, com um talento nato nas artes mágicas, Ezreal desbrava catacumbas soterradas, envolve-se com antigas maldições e supera com facilidade as situações mais improváveis. Sua coragem e ousadia não têm limites e ele prefere resolver...;Atirador / Mago;Média;['Feitiço do Poder Crescente', 'Disparo Místico', 'Fluxo Essencial', 'Translocação Arcana', 'Barragem Incendiária'];['Ezreal de Nottingham', 'Ezreal Atacante', 'Ezreal Gélido', 'Ezreal Explorador', 'Pulsefire Ezreal', 'TPA Ezreal', 'Ezreal Galante', 'Ezreal Ás de Espadas', 'Ezreal Fliperama', 'Ezreal Guardião Estelar', 'SSG Ezreal', 'Ezreal Pijaminha Estelar', 'Ezreal Academia de Batalha', 'Ezreal PsyOps', 'Ezreal PsyOps de Prestígio', 'Ezreal Protetor de Porcelana', 'Ezreal Corte das Fadas', 'Ezreal HEARTSTEEL', 'Ezreal Escamas Celestiais', 'Ezreal Escamas Celestiais de Prestígio'];https://www.leagueoflegends.com//pt-br/champions/ezreal/
Fiddlesticks;Algo despertou em Runeterra. Algo ancestral. Algo terrível. O eterno terror conhecido como Fiddlesticks vaga pelos confins do mundo mortal, atraído por áreas dominadas por uma paranoia palpável, onde se alimenta de vítimas apavoradas. Com sua foice...;Mago / Suporte;Alta;['Um Espantalho Inofensivo', 'Aterrorizar', 'Colheita Farta', 'Ceifar', 'Tempestade de Corvos'];['Fiddlesticks Espectral', 'Fiddlesticks Union Jack', 'Fiddlesticks Velho Oeste', 'Fiddlesticks Cabeça de Abóbora', 'Fiddlesticks Perna-de-Pau', 'Fiddlesticks Festa Surpresa', 'Fiddlesticks Doces Trevosos', 'Fiddlesticks Ascendente', 'Fiddlesticks Pretoriano', 'Fiddlesticks Nêmesis Estelar', 'Fiddlesticks Lua Sangrenta'];https://www.leagueoflegends.com//pt-br/champions/fiddlesticks/
Fiora;A duelista mais temida de toda Valoran, Fiora é renomada tanto por suas maneiras bruscas e perspicácia quanto pela velocidade de sua rapieira de aço. Nascida na Casa Laurent no reino de Demacia, Fiora tomou o controle da família de seu pai no rastro de...;Lutador / Assassino;Baixa;['Dança da Duelista', 'Estocada', 'Ripostar', 'Esgrima', 'Desafio Grandioso'];['Fiora Guardiã Real', 'Fiora Corvo Noturno', 'Fiora Diretora', 'PROJETO: Fiora', 'Fiora Curtindo o Verão', 'Fiora Espada Alada', 'Fiora Paixão Cortante', 'IG Fiora', 'Pulsefire Fiora', 'Fiora Fera Lunar', 'Fiora Fera Lunar de Prestígio', 'Fiora Feiticeira', 'Fiora Corte das Fadas', 'Fiora Dracomante'];https://www.leagueoflegends.com//pt-br/champions/fiora/
Fizz;Fizz é um yordle anfíbio que vive entre os recifes que rodeiam Águas de Sentina. É comum que ele busque e devolva os dízimos jogados no mar por capitães supersticiosos, mas mesmo o mais velho dos marinheiros sabe que não é uma boa ideia irritá-lo. São...;Assassino / Lutador;Média;['Lutador Ligeiro', 'Ataque do Ouriço', 'Tridente da Pedra do Mar', 'Brincalhão / Trapaceiro', 'Lançar Isca'];['Fizz Atlante', 'Fizz da Tundra', 'Fizz Pescador', 'Fizz do Vazio', 'Fizz Pelo Branquinho', 'Fizz Supergaláctico', 'Fizz Esquadrão Ômega', 'Fizz Doguinho', 'Fizz Doguinho de Prestígio', 'Lúcifizz', 'Fizz Doguinho de Prestígio (2022)', 'Fizz Astronauta'];https://www.leagueoflegends.com//pt-br/champions/fizz/
Galio;Do lado de fora da reluzente cidade de Demacia, Galio, o colosso de pedra, vigia com zelo. Construído como bastião contra magos inimigos, ele geralmente permanece imóvel por décadas até que a presença de uma magia poderosa o desperte. Uma vez ativado...;Tanque / Mago;Média;['Esmagada Colossal', 'Ventos de Guerra', 'Escudo de Durand', 'Soco Justiceiro', 'Entrada Heroica'];['Galio Enfeitiçado', 'Galio Hextec', 'Patrulheiro Galio', 'Galio Guardião das Trevas', 'Galio Galante', 'Frangalio', 'Galio Infernal', 'Galio Guardião Dracônico', 'Galio Criador Mítico'];https://www.leagueoflegends.com//pt-br/champions/galio/
Gangplank;Tão inesperado quanto brutal, o autointitulado Rei dos Ladrões conhecido como Gangplank é temido por todos os mares. Ele já reinou na cidade portuária de Águas de Sentina e, apesar de seu reinado ter terminado, existem aqueles que acreditam que isso só...;Lutador;Alta;['Julgamento de Fogo', 'Negociarrr', 'Remover Escorbuto', 'Barril de Pólvora', 'Barragem de Canhão'];['Gangplank Fantasma', 'Gangplank Milícia', 'Gangplank Marujo', 'Gangplank Soldadinho de Chumbo', 'Gangplank Forças Especiais', 'Gangplank Sultão', 'Capitão Gangplank', 'Gangplank Nova Temível', 'Gangplank Curtindo o Verão', 'FPX Gangplank', 'Gangplank, o Traidor', 'PROJETO: Gangplank'];https://www.leagueoflegends.com//pt-br/champions/gangplank/
Garen;Um guerreiro nobre e orgulhoso, Garen faz parte da Vanguarda Destemida. Popular entre seus companheiros e respeitado o suficiente por seus inimigos, sua reputação é nada mais do que o esperado de um herdeiro da prestigiosa família Stemmaguarda...;Lutador / Tanque;Média;['Perseverança', 'Acerto Decisivo', 'Coragem', 'Julgamento', 'Justiça Demaciana'];['Garen Sanguinário', 'Garen Legião do Deserto', 'Patrulheiro Garen', 'Garen Cavaleiro do Terror', 'Garen Errante', 'Garen Legionário de Aço', 'Garen Almirante Fugitivo', 'Garen Reinos Combatentes', 'Deus-Rei Garen', 'Garen Demacia Vice', 'Garen Reinos Mech', 'Garen Reinos Mech de Prestígio', 'Garen Academia de Batalha', 'Garen Criador Mítico'];https://www.leagueoflegends.com//pt-br/champions/garen/
